Оператор	Область	Код DEF
"ЗАО ""Енисейтелеком"""	Абакан Республика Хакасия	902
"ЗАО ""Енисейтелеком"""	Абакан Республика Хакасия	908
"ЗАО ""Енисейтелеком"""	Абакан Республика Хакасия	950
"ЗАО ""Енисейтелеком"""	Абакан Республика Хакасия	952
"ЗАО ""Енисейтелеком"""	Абакан Республика Хакасия	953
"ОАО ""Вымпел-Коммуникации"""	Абакан Республика Хакасия	903
"ОАО ""Вымпел-Коммуникации"""	Абакан Республика Хакасия	906
"ОАО ""Вымпел-Коммуникации"""	Абакан Республика Хакасия	909
"ОАО ""Вымпел-Коммуникации"""	Абакан Республика Хакасия	960
"ОАО ""Вымпел-Коммуникации"""	Абакан Республика Хакасия	961
"ОАО ""Вымпел-Коммуникации"""	Абакан Республика Хакасия	962
"ОАО ""Вымпел-Коммуникации"""	Абакан Республика Хакасия	963
"ОАО ""Вымпел-Коммуникации"""	Абакан Республика Хакасия	967
"ОАО ""Мегафон"" Сибирский филиал"	Абакан Республика Хакасия	923
"ОАО ""Мегафон"" Сибирский филиал"	Абакан Республика Хакасия	929
"ОАО ""Мегафон"" Сибирский филиал"	Абакан Республика Хакасия	933
"ОАО ""Мобильные ТелеСистемы"""	Абакан Республика Хакасия	913
"ОАО ""Мобильные ТелеСистемы"""	Абакан Республика Хакасия	983
"Хакасский ф-л ОАО ""Ростелеком"""	Абакан Республика Хакасия	901
"ОАО ""Вымпел-Коммуникации"""	Анадырь Чукотский АО	964
"ОАО ""Вымпел-Коммуникации"""	Анадырь Чукотский АО	968
"ОАО ""Мегафон"" Дальневосточный филиал"	Анадырь Чукотский АО	924
"ОАО ""Мегафон"" Дальневосточный филиал"	Анадырь Чукотский АО	929
"ОАО ""Мобильные Телесистемы"""	Анадырь Чукотский АО	914
"Архангельский ф-л ОАО ""Ростелеком"""	Архангельск Архангельская область	901
"ЗАО ""Архангельские Мобильные Сети"""	Архангельск Архангельская область	900
"ЗАО ""Архангельские Мобильные Сети"""	Архангельск Архангельская область	902
"ЗАО ""Архангельские Мобильные Сети"""	Архангельск Архангельская область	950
"ЗАО ""Архангельские Мобильные Сети"""	Архангельск Архангельская область	952
"ЗАО ""Архангельские Мобильные Сети"""	Архангельск Архангельская область	953
"ОАО ""Вымпел-Коммуникации"""	Архангельск Архангельская область	905
"ОАО ""Вымпел-Коммуникации"""	Архангельск Архангельская область	906
"ОАО ""Вымпел-Коммуникации"""	Архангельск Архангельская область	909
"ОАО ""Вымпел-Коммуникации"""	Архангельск Архангельская область	960
"ОАО ""Вымпел-Коммуникации"""	Архангельск Архангельская область	962
"ОАО ""Вымпел-Коммуникации"""	Архангельск Архангельская область	964
"ОАО ""Вымпел-Коммуникации"""	Архангельск Архангельская область	965
"ОАО ""Мегафон"" Северо-Западный филиал"	Архангельск Архангельская область	921
"ОАО ""Мегафон"" Северо-Западный филиал"	Архангельск Архангельская область	929
"ОАО ""Мегафон"" Северо-Западный филиал"	Архангельск Архангельская область	931
"ОАО ""Мобильные ТелеСистемы"""	Архангельск Архангельская область	911
"ОАО ""Мобильные ТелеСистемы"""	Архангельск Архангельская область	981
"ЗАО ""Астрахань-GSM"""	Астрахань Астраханская область	902
"ЗАО ""Астрахань-GSM"""	Астрахань Астраханская область	904
"ЗАО ""Астрахань-GSM"""	Астрахань Астраханская область	908
"ЗАО ""Астрахань-GSM"""	Астрахань Астраханская область	950
"ЗАО ""Сотел Астрахань"""	Астрахань Астраханская область	901
"ОАО ""Вымпел-Коммуникации"""	Астрахань Астраханская область	903
"ОАО ""Вымпел-Коммуникации"""	Астрахань Астраханская область	905
"ОАО ""Вымпел-Коммуникации"""	Астрахань Астраханская область	906
"ОАО ""Вымпел-Коммуникации"""	Астрахань Астраханская область	909
"ОАО ""Вымпел-Коммуникации"""	Астрахань Астраханская область	960
"ОАО ""Вымпел-Коммуникации"""	Астрахань Астраханская область	961
"ОАО ""Вымпел-Коммуникации"""	Астрахань Астраханская область	962
"ОАО ""Вымпел-Коммуникации"""	Астрахань Астраханская область	964
"ОАО ""Вымпел-Коммуникации"""	Астрахань Астраханская область	965
"ОАО ""Вымпел-Коммуникации"""	Астрахань Астраханская область	967
"ОАО ""Мегафон"" Поволжский филиал"	Астрахань Астраханская область	927
"ОАО ""Мегафон"" Поволжский филиал"	Астрахань Астраханская область	929
"ОАО ""Мегафон"" Поволжский филиал"	Астрахань Астраханская область	937
"ОАО ""Мобильные ТелеСистемы"""	Астрахань Астраханская область	917
"ОАО ""Мобильные ТелеСистемы"""	Астрахань Астраханская область	988
"ОАО ""Мобильные ТелеСистемы"""	Астрахань Астраханская область	989
"ОАО ""Алтайсвязь"""	Барнаул Алтайский край	902
"ОАО ""Алтайсвязь"""	Барнаул Алтайский край	952
"ОАО ""Алтайсвязь"""	Барнаул Алтайский край	953
"ОАО ""Вымпел-Коммуникации"""	Барнаул Алтайский край	903
"ОАО ""Вымпел-Коммуникации"""	Барнаул Алтайский край	905
"ОАО ""Вымпел-Коммуникации"""	Барнаул Алтайский край	906
"ОАО ""Вымпел-Коммуникации"""	Барнаул Алтайский край	909
"ОАО ""Вымпел-Коммуникации"""	Барнаул Алтайский край	960
